,Unnamed: 0,name,type,images,labels
0,2259,ISIC:train:0001,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000000.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000000_segmentation.png
1,2260,ISIC:train:0002,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000001.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000001_segmentation.png
2,2261,ISIC:train:0003,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000002.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000002_segmentation.png
3,2262,ISIC:train:0004,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000003.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000003_segmentation.png
4,2263,ISIC:train:0005,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000004.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000004_segmentation.png
5,2264,ISIC:train:0006,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000006.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000006_segmentation.png
6,2265,ISIC:train:0007,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000007.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000007_segmentation.png
7,2266,ISIC:train:0008,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000008.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000008_segmentation.png
8,2267,ISIC:train:0009,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000009.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000009_segmentation.png
9,2268,ISIC:train:0010,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000010.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000010_segmentation.png
10,2269,ISIC:train:0011,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000011.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000011_segmentation.png
11,2270,ISIC:train:0012,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000012.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000012_segmentation.png
12,2271,ISIC:train:0013,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000013.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000013_segmentation.png
13,2272,ISIC:train:0014,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000014.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000014_segmentation.png
14,2273,ISIC:train:0015,ISIC,/project/ahnailab/data/segmentation/ISIC_resize/train_224/images/ISIC_0000015.jpg,/project/ahnailab/data/segmentation/ISIC_resize/train_224/labels/ISIC_0000015_segmentation.png
